Rank (of 2021),School,Grades,District,# Students,"Student/
                            Teacher Ratio","Free/Disc Lunch
                            Recipients",Average Standard Score (2017),Rank (2016),Rank Change From 2016
1185,Bayshore Preparatory Charter,K-12,San Marcos Unified,112,18.6,50.0 %,42.7,291,894
1185,Herlong High,9-12,Fort Sage Unified,66,13.2,63.6 %,42.7,1220,35
1185,Sierra Home,K-12,Mariposa County Unified,44,14.6,47.7 %,42.7,,(n/a)
1188,Alta Vista Alternative High,9-12,Santa Barbara Unified,154,17.1,33.1 %,42.6,940,248
1189,Hesperia High,9-12,Hesperia Unified,"2,045",27.6,79.6 %,42.6,1136,53
1190,East Bakersfield High,9-12,Kern High,"2,217",26,82.4 %,42.6,1248,58
1191,Rialto High,9-12,Rialto Unified,"2,716",25.1,81.5 %,42.6,1188,3
1192,California Virtual Academy @ Sutter,K-12,Meridian Elementary,830,5.4,61.1 %,42.6,1021,171
1193,Los Molinos High,9-12,Los Molinos Unified,173,15.7,68.2 %,42.5,1026,167
1194,North High,9-12,Kern High,"1,637",25.9,75.9 %,42.5,661,533
1195,Corcoran High,9-12,Corcoran Joint Unified,860,20.4,76.4 %,42.5,1273,78
1196,Lawndale High,9-12,Centinela Valley Union High,"2,219",21.3,79.8 %,42.3,1091,105
1197,Northern Summit Academy,K-12,Whitmore Union Elementary,67,16.7,67.2 %,42.2,,(n/a)
1198,Lucerne Valley High,9-12,Lucerne Valley Unified,222,18.5,77.9 %,42.1,970,228
1199,Golden West High,9-12,Visalia Unified,"1,651",23.9,58.4 %,42.1,814,385
1200,Shafter High,9-12,Kern High,"1,486",30.9,79.8 %,42.1,1115,85
1201,Gorman Learning Center,K-12,Gorman Joint,"2,236",,34.4 %,42.1,989,212
1202,East Union High,9-12,Manteca Unified,"1,579",22.2,48.3 %,42.1,1043,159
1203,Elizabeth Learning Center,K-12,Los Angeles Unified,"1,783",24.7,88.4 %,42,1203,
1204,Dehesa Charter,K-12,Dehesa Elementary,"1,022",18.9,19.7 %,42,1030,174
1205,Visions In Education,K-12,San Juan Unified,"5,338",30.8,49.2 %,41.9,1048,157
1206,Chula Vista Senior High,9-12,Sweetwater Union High,"2,598",26.7,73.4 %,41.9,1059,147
1207,Mt. Diablo High,9-12,Mt. Diablo Unified,"1,307",19.5,75.2 %,41.9,1343,136
1208,Lindhurst High,9-12,Marysville Joint Unified,"1,122",23.3,84.0 %,41.8,1221,13
1209,Monte Vista,1-12,Simi Valley Unified,175,21.8,19.4 %,41.8,1242,33
1210,Oak Knoll Alternative,K-12,Charter Oak Unified,63,21,30.2 %,41.8,,(n/a)
1211,Independence High (Alternative),9-12,Roseville Joint Union High,159,15.9,22.6 %,41.8,1095,116
1211,National University Academy,K-12,Lakeside Union Elementary,797,22.7,43.7 %,41.8,941,270
1213,Crenshaw Arts-Technology Charter High,9-12,Los Angeles Unified,141,17.6,92.2 %,41.8,1363,150
1214,Kern Valley High,9-12,Kern High,463,22,65.4 %,41.8,1111,103
1215,Tahquitz High,9-12,Hemet Unified,"1,665",22.2,79.7 %,41.7,1168,47
1216,Pacifica High,9-12,Oxnard Union High,"3,306",28,70.3 %,41.7,996,220
1217,El Cajon Valley High,9-12,Grossmont Union High,"1,772",22.7,87.3 %,41.6,1414,197
1218,Skyline High,9-12,Oakland Unified,"1,854",20.3,75.6 %,41.6,1245,27
1219,Downtown College Prep - Alum Rock,6-12,Santa Clara County Office Of Education,580,23.2,84.3 %,41.5,697,522
1220,Envision Academy for Arts & Technology,9-12,Alameda County Office Of Education,407,20.3,67.3 %,41.4,1358,138
1221,Savanna High,9-12,Anaheim Union High,"2,035",27.1,77.1 %,41.3,1015,206
1222,Learning Community Charter,K-12,Butte County Office Of Education,279,14.6,79.2 %,41.2,1065,157
1223,Herbert Hoover High,9-12,Fresno Unified,"1,896",23.1,80.6 %,41.2,1227,4
1224,Oakland Military Institute College Preparatory Academy,6-12,Oakland Unified,616,25.6,25.0 %,41.1,1076,148
1225,Marysville High,9-12,Marysville Joint Unified,893,22.8,61.9 %,41.1,685,540
1226,Montebello High,9-12,Montebello Unified,"2,734",26.8,87.1 %,40.9,1246,20
1227,Littlerock High,9-12,Antelope Valley Union High,"1,537",22.9,82.6 %,40.8,1280,53
1228,Taft Union High,9-12,Taft Union High,980,15.8,59.2 %,40.7,1126,102
1229,Humanities and Arts (HARTS) Academy of Los Angeles,9-12,Los Angeles Unified,438,19.9,84.0 %,40.6,1270,41
1230,Mountain Oaks,K-12,Calaveras County Office Of Education,495,23.5,56.0 %,40.6,774,456
1231,Moreno Valley High,9-12,Moreno Valley Unified,"2,335",25.3,88.5 %,40.6,1247,16
1232,Mar Vista Senior High,9-12,Sweetwater Union High,"1,656",25.8,65.3 %,40.5,1089,143
1233,Wilmer Amina Carter High,9-12,Rialto Unified,"2,411",23.8,70.6 %,40.5,754,479
1234,West High,9-12,Kern High,"2,027",27,83.9 %,40.5,1274,40
1235,Oakland High,9-12,Oakland Unified,"1,583",21.1,88.2 %,40.4,1257,22
1236,San Gorgonio High,9-12,San Bernardino City Unified,"2,044",26.5,85.8 %,40.3,1216,20
1237,Hueneme High,9-12,Oxnard Union High,"2,118",26.4,79.2 %,40.3,1262,25
1238,Lifeline Education Charter,K-12,State Board Of Education - Lifeline Education Charter,581,25.2,40.5 %,40.1,1211,27
1239,Merrill F. West High,9-12,Tracy Joint Unified,"2,099",23.5,49.3 %,40,861,378
1240,Alder Grove Charter,K-12,South Bay Union Elementary,379,17.2,67.8 %,40,1298,58
1241,Mt. Lassen Charter,K-12,Fort Sage Unified,162,16.2,45.7 %,39.9,1187,54
1242,West Shores High,7-12,Coachella Valley Unified,443,16.4,95.7 %,39.9,1256,14
1243,Ivy Academia,K-12,Los Angeles Unified,846,20.1,58.5 %,39.8,1151,92
1244,Monte Vista High,9-12,Newport-Mesa Unified,72,18,29.2 %,39.8,1112,132
1245,NOVA Academy - Coachella,9-12,Coachella Valley Unified,207,23,90.8 %,39.7,1243,2
1246,Ganesha High,9-12,Pomona Unified,"1,059",21.1,88.0 %,39.7,1344,98
1247,Bloomington High,9-12,Colton Joint Unified,"1,986",20.9,82.2 %,39.6,1172,75
1248,Corning High,9-12,Corning Union High,872,19.8,69.3 %,39.6,1272,24
1249,Opportunities for Learning - Capistrano,K-12,Capistrano Unified,74,7.4,36.5 %,39.6,1032,217
1250,Barstow High,9-12,Barstow Unified,"1,401",21.8,69.7 %,39.6,943,307
1251,North County Trade Technical High,9-12,Vista Unified,161,14.6,44.1 %,39.4,1449,198
1252,Ernest Righetti High,9-12,Santa Maria Joint Union High,"2,139",22.7,50.7 %,39.4,1017,235
1253,Phoenix High (Continuation),9-12,Western Placer Unified,75,18.7,32.0 %,39.3,1454,201
1254,Dinuba High,9-12,Dinuba Unified,"1,989",27.2,75.3 %,39.2,1124,130
1255,Latino College Preparatory Academy,9-12,East Side Union High,422,26.3,94.8 %,39.2,1327,72
1256,View Park Preparatory Accelerated High,9-12,Los Angeles Unified,654,38.4,67.6 %,39.2,1376,120
1257,California Virtual Academy @ Sonoma,K-12,Liberty Elementary,638,20.5,56.9 %,39.2,856,401
1258,Ulysses S. Grant Senior High,9-12,Los Angeles Unified,"1,960",24.5,73.5 %,39.1,1264,6
1259,Coachella Valley High,9-12,Coachella Valley Unified,"2,619",25.9,90.2 %,38.8,1310,51
1260,Granite Hills High,9-12,Porterville Unified,"1,335",26.1,84.6 %,38.8,1240,20
1261,SLVUSD Charter,K-12,San Lorenzo Valley Unified,297,24.7,11.8 %,38.8,364,897
1262,Willits High,9-12,Willits Unified,398,16.5,64.8 %,38.8,1161,101
1263,Applied Technology Center,9-12,Montebello Unified,565,24.5,83.5 %,38.7,1153,110
1264,Foothill High,9-12,Twin Rivers Unified,"1,058",21.5,72.7 %,38.7,1372,108
1265,Magnolia Science Academy 4,6-12,Los Angeles Unified,184,16.7,76.1 %,38.7,1204,61
1266,Pajaro Valley High,9-12,Pajaro Valley Unified,"1,455",26.9,87.5 %,38.5,1024,242
1267,John C. Fremont Senior High,9-12,Los Angeles Unified,"2,001",22.4,91.1 %,38.3,1324,57
1268,Sherman Thomas Charter High,9-12,Madera Unified,68,22.6,66.2 %,38.2,548,720
1269,Madison Park Academy 6-12,6-12,Oakland Unified,691,24.6,97.0 %,38.2,1406,137
1270,Animo South Los Angeles Charter,9-12,Los Angeles Unified,622,22.2,90.5 %,38,1139,131
1271,El Sereno Alternative Education,9-12,San Juan Unified,185,15.4,38.9 %,37.9,1200,71
1272,Edward R. Roybal Learning Center,9-12,Los Angeles Unified,"1,107",20.1,88.4 %,37.9,1331,59
1273,Jurupa Hills High,9-12,Fontana Unified,"2,037",21.4,85.3 %,37.8,734,539
1274,Mesa Verde High,9-12,San Juan Unified,939,21.8,64.8 %,37.5,1159,115
1275,New Open World Academy K-12,K-12,Los Angeles Unified,"1,149",22.9,90.5 %,37.5,1035,240
1276,Westchester Secondary Charter,6-12,Los Angeles County Office Of Education,252,14,27.0 %,37.5,848,428
1277,Maxwell Senior High,9-12,Maxwell Unified,108,21.6,12.0 %,37.3,1321,44
1278,Alternative Learning Center,1-12,San Bernardino City Unified,21,10.5,61.9 %,37.3,,(n/a)
1279,Gunderson High,9-12,San Jose Unified,"1,107",20.8,54.1 %,37.2,1107,172
1280,New Millennium Secondary,9-12,Los Angeles Unified,187,15.5,78.6 %,37.1,1236,44
1281,California City High,9-12,Mojave Unified,484,19.3,73.8 %,37.1,1185,96
1282,Bell Gardens High,9-12,Montebello Unified,"3,043",27.4,92.2 %,37,1154,128
1283,Emery Secondary,9-12,Emery Unified,174,14.5,71.3 %,37,1266,17
1284,Orosi High,9-12,Cutler-Orosi Joint Unified,"1,045",25.4,90.1 %,36.9,1193,91
1285,Perris High,9-12,Perris Union High,"2,428",26.6,88.4 %,36.8,1460,175
1286,Luther Burbank High,9-12,Sacramento City Unified,"1,712",18,80.1 %,36.8,1431,145
1287,Ukiah Independent Study Academy,K-12,Ukiah Unified,110,22,47.3 %,36.8,1049,238
1288,Maidu High Independent Study,9-12,Placer Union High,125,25,24.0 %,36.7,956,332
1289,Lone Pine High,9-12,Lone Pine Unified,105,15,47.6 %,36.7,694,595
1290,Huntington Park Senior High,9-12,Los Angeles Unified,"1,701",22.6,87.7 %,36.7,1332,42
1291,San Diego Metro Career And Technical,9-12,San Diego Unified,117,8.3,50.4 %,36.5,411,880
1292,Prospects High (Alternative),K-12,Antioch Unified,380,23.7,50.8 %,36.4,1367,75
1293,Anaheim High,9-12,Anaheim Union High,"3,164",28.5,83.4 %,36.4,1110,183
1294,Fremont Academy of Engineering and Design,7-12,Pomona Unified,871,22.3,90.6 %,36.4,1258,36
1295,William J. (Pete) Knight High,9-12,Antelope Valley Union High,"2,956",23.6,73.9 %,36.3,1168,127
1296,Heritage Peak Charter,K-12,Twin Rivers Unified,"1,169",24.3,60.1 %,36.2,1143,153
1297,Del Amigo High (Continuation),7-12,San Ramon Valley Unified,43,7.1,23.3 %,36.2,1352,55
1298,Pacific View Charter,K-12,Loleta Union Elementary,177,16,70.6 %,36.1,1508,210
1299,Pomona High,9-12,Pomona Unified,"1,340",22.3,85.8 %,36.1,1405,106
1300,Victor Valley High,9-12,Victor Valley Union High,"1,892",24.8,79.9 %,36.1,1284,16
