Rank (of 5692),School,Grades,District,# Students,"Student/
                            Teacher Ratio","Free/Disc Lunch
                            Recipients",Average Standard Score (2017),Rank (2016)
1350,John Swett Elementary,K-5,Martinez Unified,536,22.3,12.9 %,74.7,1027
1351,Spreckels Elementary,K-5,Spreckels Union Elementary,600,24,12.3 %,74.7,1356
1352,Hoover Street Elementary,K-5,Los Angeles Unified,802,23.5,93.4 %,74.7,1979
1353,Rancho Las Positas Elementary,K-5,Livermore Valley Joint Unified,542,22.5,20.7 %,74.6,1825
1354,Edison Elementary,K-5,Torrance Unified,494,26,49.6 %,74.6,1392
1355,Garfield Elementary,K-5,San Diego Unified,337,24,89.6 %,74.6,2049
1356,Harloe Elementary,K-6,Lucia Mar Unified,667,27.7,48.9 %,74.6,1352
1357,Albert Einstein Academy For Letters Arts And Sciences-Steam,K-6,Acton-Agua Dulce Unified,677,21.8,10.6 %,74.5,
1358,Mark Twain Elementary,K-5,Lawndale Elementary,529,24,59.0 %,74.5,1098
1359,Vista del Valle Elementary,K-6,Claremont Unified,319,26.5,77.7 %,74.5,1987
1360,Marshall Elementary,K-5,Castro Valley Unified,477,23.8,38.6 %,74.5,1377
1361,Rail Ranch Elementary,K-6,Murrieta Valley Unified,587,27.9,41.4 %,74.5,1732
1362,East Heritage Elementary,K-5,Etiwanda Elementary,564,23.5,46.3 %,74.5,1591
1363,Tomas Rivera Elementary,K-6,Riverside Unified,739,25.4,37.1 %,74.4,1455
1364,Valencia Elementary,K-6,Upland Unified,588,25.5,19.9 %,74.4,1287
1365,Gold River Discovery Center K-8,K-8,San Juan Unified,836,27.8,20.8 %,74.4,925
1366,La Mesa Elementary,K-5,Monterey Peninsula Unified,453,20.5,19.0 %,74.4,1376
1367,Sisson,4-8,Mt. Shasta Union Elementary,297,19.8,44.4 %,74.3,
1368,Jackson Avenue Elementary,K-5,Livermore Valley Joint Unified,501,22.7,41.7 %,74.3,1263
1369,Temecula Preparatory,K-12,Temecula Valley Unified,"1,062",21.6,20.4 %,74.3,721
1370,Parkview Elementary,K-6,Garden Grove Unified,500,23.8,65.4 %,74.3,1467
1371,Orchard Elementary,K-6,Vacaville Unified,390,22.9,23.1 %,74.3,1338
1372,Chester W. Nimitz Elementary,K-5,Cupertino Union,721,24,19.4 %,74.3,1290
1373,Washington Elementary,K-6,Charter Oak Unified,448,23.5,57.1 %,74.2,1523
1374,Daniel Phelan Elementary,K-5,Whittier City Elementary,498,24.9,80.7 %,74.2,1957
1375,Antelope Hills Elementary,K-5,Murrieta Valley Unified,822,25.6,24.8 %,74.2,1261
1376,Edith Landels Elementary,K-5,Mountain View Whisman,541,22.5,29.0 %,74.2,1156
1377,Competitive Edge Charter Academy (CECA),K-8,Yucaipa-Calimesa Joint Unified,671,21.6,25.5 %,74.2,1125
1378,Ranch Hills Elementary,K-6,Pomona Unified,485,26.9,42.9 %,74.2,1281
1379,Isleton Elementary,K-6,River Delta Joint Unified,156,17.3,75.0 %,74.2,1668
1380,Garfield Elementary,K-8,Alhambra Unified,641,25.6,67.4 %,74.1,2036
1381,Boulder Oaks Elementary,1-5,Alpine Union Elementary,259,25.9,30.5 %,74.1,993
1382,Castaic Elementary,K-6,Castaic Union,548,26,13.5 %,74.1,1117
1383,Southgate Elementary,K-6,Hayward Unified,687,24.5,59.0 %,74.1,2012
1384,Standiford Elementary,K-5,Sylvan Union Elementary,452,22.6,62.4 %,74.1,1432
1385,Peter Burnett Elementary,3-5,Wiseburn Unified,457,26.8,42.9 %,74,
1386,R. D. White Elementary,K-5,Glendale Unified,897,24.9,63.6 %,74,1433
1387,Fuente Nueva Charter,K-5,Arcata Elementary,115,19.1,31.3 %,74,1695
1388,Spreckels Elementary,K-5,San Diego Unified,585,26.5,48.0 %,73.9,1577
1389,Miller Elementary,K-5,San Diego Unified,691,23.8,60.2 %,73.9,1551
1390,Sequoia Elementary,K-6,Rincon Valley Union Elementary,439,23.1,10.9 %,73.9,1220
1391,Van Buren Elementary,K-6,Placentia-Yorba Linda Unified,694,27.7,21.0 %,73.8,1066
1392,Amelia Earhart Elementary School of International Studies,K-5,Desert Sands Unified,931,27.3,40.3 %,73.8,1485
1393,Lemon Avenue Elementary,K-6,La Mesa-Spring Valley,682,29.6,37.7 %,73.8,1635
1394,Deer Canyon Elementary,K-6,Alta Loma Elementary,603,26.2,41.1 %,73.8,1494
1395,Riverview Elementary,K-8,Kings Canyon Joint Unified,451,28.1,61.9 %,73.8,1870
1396,Alta-Dutch Flat Elementary,K-8,Alta-Dutch Flat Union Elementary,92,23,43.5 %,73.8,1821
1397,Ventura Charter School of Arts and Global Education,K-8,Ventura County Office Of Education,426,23.6,26.3 %,73.8,1243
1398,Arovista Elementary,K-6,Brea-Olinda Unified,503,27.9,34.0 %,73.8,1223
1399,Island Elementary,K-8,Island Union Elementary,375,22,36.8 %,73.7,1851
1400,Cooper Elementary,K-6,Vacaville Unified,899,25.6,30.8 %,73.7,1441
1401,Woodrow Wilson Elementary,K-6,Corona-Norco Unified,924,28,31.1 %,73.7,1227
1402,Mission Elementary,K-5,Redlands Unified,561,28,73.3 %,73.6,1814
1403,Joe Nightingale Elementary,K-6,Orcutt Union Elementary,761,27.1,46.0 %,73.6,1495
1404,Cubberley Elementary,K-5,San Diego Unified,154,25.6,61.7 %,73.6,1222
1405,Elk Grove Elementary,K-6,Elk Grove Unified,860,22,35.8 %,73.6,1596
1406,Burbank (Luther) Elementary,K-6,ABC Unified,518,27.2,60.0 %,73.6,1506
1407,Norco Elementary,K-6,Corona-Norco Unified,583,24.2,35.5 %,73.5,1330
1408,Ladera Elementary,K-5,Conejo Valley Unified,316,21,33.2 %,73.5,1350
1409,Rachel Carson Elementary,K-5,San Jose Unified,354,20.8,36.7 %,73.5,1229
1410,Monterey Bay Charter,K-8,Monterey County Office Of Education,358,25.5,34.6 %,73.5,873
1411,Sakamoto Elementary,K-6,Oak Grove Elementary,598,26,18.4 %,73.5,1542
1412,Ybarra Academy for the Arts and Technology,K-8,Rowland Unified,677,24.1,48.7 %,73.5,1104
1413,Abraham Lincoln,K-5,Paramount Unified,636,26.5,91.4 %,73.4,1757
1414,Rio San Gabriel Elementary,K-5,Downey Unified,836,27.8,55.3 %,73.4,1653
1415,Cleminson Elementary,K-6,El Monte City,399,23.4,70.2 %,73.4,1639
1416,Pacific Elementary,K-6,Pacific Elementary,115,23,26.1 %,73.4,1231
1417,Descanso Elementary,K-5,Mountain Empire Unified,175,21.8,53.1 %,73.3,875
1418,Magnolia Elementary,K-8,Magnolia Union Elementary,124,24.8,6.5 %,73.2,1351
1419,Steve Luther Elementary,K-6,Cypress Elementary,505,25.2,43.4 %,73.2,1439
1420,Fancher Creek Elementary,K-6,Clovis Unified,852,27.4,77.2 %,73.2,2044
1421,James Foster Elementary,K-6,Saugus Union,601,27.3,13.3 %,73.1,986
1422,Cleveland Elementary,K-5,Long Beach Unified,533,25.3,37.5 %,73.1,1760
1423,Pine Grove Elementary,K-6,Orcutt Union Elementary,589,29.4,33.5 %,73.1,1705
1424,Cabrillo Elementary,K-4,San Diego Unified,163,20.3,63.8 %,73.1,1413
1425,Don Benito Fundamental,K-5,Pasadena Unified,608,26.4,40.8 %,73,1452
1426,Rollingwood Elementary,K-5,San Bruno Park Elementary,279,25.3,35.5 %,73,1715
1427,Synergy Charter Academy,K-5,Los Angeles Unified,313,26,95.5 %,73,2332
1428,Pomelo Community Charter,K-5,Los Angeles Unified,640,24.6,18.3 %,72.9,956
1429,Signal Hill Elementary,K-5,Long Beach Unified,727,25,89.6 %,72.9,2244
1430,San Rafael Elementary,K-5,Pasadena Unified,454,23.8,35.9 %,72.9,1360
1431,Scott Avenue Elementary,K-5,East Whittier City Elementary,642,23.7,43.5 %,72.9,1658
1432,Adams Elementary,K-6,Santa Barbara Unified,555,24.1,65.8 %,72.9,1962
1433,John O. Tynes Elementary,K-6,Placentia-Yorba Linda Unified,851,26.5,69.6 %,72.9,1623
1434,Mountain View Elementary,K-5,Los Angeles Unified,351,25,57.0 %,72.8,1331
1435,Intensive Learning Center,K-6,Bellflower Unified,623,23.9,57.5 %,72.8,1131
1436,Park Elementary,K-8,Alhambra Unified,786,26.2,67.7 %,72.7,1562
1437,Price Elementary,K-5,Downey Unified,881,25.9,58.3 %,72.7,1322
1438,Unsworth Elementary,K-5,Downey Unified,684,24.4,70.0 %,72.7,1054
1439,Mistletoe Elementary,K-8,Enterprise Elementary,627,25,62.2 %,72.7,1555
1440,River Bluff Elementary,K-6,Central Unified,927,31.9,48.4 %,72.7,1628
1441,Orange Elementary,K-6,Corona-Norco Unified,730,26,27.8 %,72.6,1292
1442,Two Rock Elementary,K-6,Two Rock Union,157,22.4,53.5 %,72.6,2015
1443,Sonora Elementary,K-6,Newport-Mesa Unified,501,23.8,77.1 %,72.6,1692
1444,Lau (Gordon J.) Elementary,K-5,San Francisco Unified,664,25.5,88.1 %,72.6,1418
1445,Peabody Charter,K-6,Santa Barbara Unified,750,24.1,44.8 %,72.6,1362
1446,Sierra Elementary,K-5,Placerville Union Elementary,475,23.7,43.6 %,72.5,1406
1447,Manzanita Elementary,K-8,Manzanita Elementary,276,21.2,39.5 %,72.5,1498
1448,Latimer Elementary,K-7,Moreland,338,22.5,32.3 %,72.5,
1449,Northwood Elementary,K-5,Napa Valley Unified,347,24.7,46.1 %,72.5,1139
1450,Justice Street Academy Charter,K-5,Los Angeles Unified,399,23.4,33.1 %,72.4,1543
1451,Alexander Valley Elementary,K-6,Alexander Valley Union Elementary,123,17.5,26.0 %,72.4,1073
1452,Old Orchard Elementary,K-6,Newhall,464,22,40.5 %,72.4,1549
1453,Ralph Emerson Elementary,K-5,Burbank Unified,599,24.9,30.1 %,72.4,1372
1454,Global Education Academy,K-5,Los Angeles Unified,236,19.6,96.6 %,72.4,1915
1455,Garin Elementary,K-5,Brentwood Union Elementary,592,24.6,30.1 %,72.3,1620
1456,Sonoma Elementary,K-6,Modesto City Elementary,542,20.8,57.6 %,72.3,1841
1457,Parker Whitney Elementary,K-6,Rocklin Unified,417,23.1,30.2 %,72.3,1659
1458,Allesandro Elementary,K-6,Los Angeles Unified,440,24.4,86.6 %,72.3,1571
1459,William B. Bimat Elementary,K-6,Norris Elementary,574,23.9,6.8 %,72.3,1128
1460,Judson & Brown Elementary,K-5,Redlands Unified,554,27.7,48.2 %,72.3,1235
1461,Marcum-Illinois Union Elementary,K-8,Marcum-Illinois Union Elementary,155,15.5,41.3 %,72.2,1172
1462,Martin Van Buren Elementary,K-5,Desert Sands Unified,621,23.8,89.7 %,72.2,2360
1463,Macy Elementary,K-6,Lowell Joint,530,26.5,26.6 %,72.2,1183
1464,Oxford Elementary,K-5,Berkeley Unified,302,20.1,41.1 %,72.1,1273
1465,Cedarlane Academy,K-8,Hacienda La Puente Unified,554,23,77.8 %,72.1,1764
1466,KIPP Excelencia Community Preparatory,K-8,Redwood City Elementary,212,19.2,85.4 %,72.1,
1467,Penn Elementary,K-5,San Diego Unified,367,26.2,78.5 %,72.1,2061
1468,Forest Grove Elementary,K-5,Pacific Grove Unified,474,24.9,28.1 %,72.1,1087
1469,Gallatin Elementary,K-5,Downey Unified,702,27,54.0 %,72,1546
1470,Plum Canyon Elementary,K-6,Saugus Union,679,28.2,10.9 %,71.9,1288
1471,Evergreen Elementary,K-4,Evergreen Union,568,22.7,57.4 %,71.9,2407
1472,Spring Grove Elementary,K-8,North County Joint Union Elementary,760,25.3,47.0 %,71.9,1469
1473,Willow Glen Elementary,K-5,San Jose Unified,782,26.9,34.5 %,71.9,1284
1474,Westlake Charter,K-8,Natomas Unified,666,23.7,21.0 %,71.9,1093
1475,Columbine Elementary,K-8,Columbine Elementary,196,21.7,59.7 %,71.9,1232
1476,Camellia Elementary,K-6,Sacramento City Unified,458,26.9,84.1 %,71.8,2009
1477,Arroyo Secondary Elementary,K-5,Livermore Valley Joint Unified,621,21.4,23.5 %,71.8,1518
1478,Harding Elementary,K-6,West Contra Costa Unified,392,19.6,31.4 %,71.8,1712
1479,Murray Manor Elementary,K-6,La Mesa-Spring Valley,702,29.2,37.2 %,71.8,1463
1480,Heritage K-8 Charter,K-8,Escondido Union,648,21.6,41.2 %,71.8,1018
1481,Summerdale Elementary,K-5,Berryessa Union Elementary,462,24.3,37.7 %,71.8,1564
1482,Sequoia Elementary,K-6,Westminster,393,23.1,58.5 %,71.7,1247
1483,Peachland Avenue Elementary,K-6,Newhall,478,25.1,59.6 %,71.7,1332
1484,Three Rivers Elementary,K-8,Three Rivers Union Elementary,143,15.8,42.0 %,71.7,2287
1485,Millard McCollam Elementary,K-5,Alum Rock Union Elementary,423,22.2,66.7 %,71.7,2101
1486,Ellerth E. Larson Elementary,K-6,Lodi Unified,737,24.5,44.0 %,71.7,1622
1487,Rooftop Elementary,K-8,San Francisco Unified,586,24.4,31.4 %,71.6,1472
1488,El Sol Santa Ana Science and Arts Academy,K-8,Santa Ana Unified,906,23.2,72.0 %,71.6,1882
1489,Sierra View Elementary,K-6,Golden Valley Unified,402,23.6,32.1 %,71.6,825
1490,Fletcher Elementary,K-5,San Diego Unified,227,22.7,59.9 %,71.6,1511
1491,William Land Elementary,K-6,Sacramento City Unified,466,29.1,66.5 %,71.6,2371
1492,Rocketship Mosaic Elementary,K-5,Franklin-McKinley Elementary,604,35.5,82.3 %,71.6,1574
1493,North Park Elementary,K-6,Saugus Union,746,25.7,15.4 %,71.5,1268
1494,Saint Helena Elementary,3-5,Saint Helena Unified,238,18.3,47.1 %,71.5,1381
1495,Mitchell Community Elementary,K-6,Sulphur Springs Union,625,26,49.0 %,71.5,1524
1496,Montevideo Elementary,K-6,Saddleback Valley Unified,441,24.5,20.9 %,71.5,1250
1497,Grass Valley Charter,K-8,Grass Valley Elementary,521,24.8,23.2 %,71.5,1531
1498,Vineyard Elementary,3-5,Templeton Unified,538,25.6,22.9 %,71.5,1477
1499,Matsuyama Elementary,K-6,Sacramento City Unified,647,28.1,46.2 %,71.4,1727
1500,Sutro Elementary,K-5,San Francisco Unified,259,23.5,64.1 %,71.4,997
1501,William G. Paden Elementary,K-5,Alameda Unified,297,24.7,42.1 %,71.4,1311
1502,Occs:chep/Pchs,K-12,Orange County Department Of Education,"1,095",49.7,22.2 %,71.3,1305
1503,Joaquin Miller Elementary,K-5,Oakland Unified,425,23.6,23.3 %,71.3,1545
1504,International School of Monterey,K-8,Monterey Peninsula Unified,419,17.4,16.5 %,71.3,1122
1505,George Washington Elementary,K-5,Burbank Unified,432,19.6,49.8 %,71.3,1435
1506,Silverwood Elementary,K-5,Mt. Diablo Unified,480,22.8,36.7 %,71.3,1379
1507,Rolling Hills Elementary,K-6,Fullerton Elementary,720,31.3,25.4 %,71.3,1160
1508,Caleb Greenwood Elementary,K-6,Sacramento City Unified,478,28.1,33.5 %,71.3,1647
1509,Taylor (Bertha) Elementary,K-6,Oak Grove Elementary,632,27.4,15.5 %,71.3,1319
1510,White Point Elementary,K-6,Los Angeles Unified,386,22.7,26.9 %,71.2,1343
1511,Knollwood Preparatory Academy,K-5,Los Angeles Unified,424,21.2,58.0 %,71.2,1928
1512,Woodside Elementary,K-5,Mt. Diablo Unified,399,23.4,37.3 %,71.2,2035
1513,Glider Elementary,K-6,Oak Grove Elementary,615,27.9,34.0 %,71.1,1313
1514,Norris Elementary,K-6,Norris Elementary,972,24.3,9.5 %,71.1,1283
1515,Irene B. West Elementary,K-6,Elk Grove Unified,846,21.1,63.7 %,71.1,1541
1516,Garfield Elementary,K-5,San Francisco Unified,223,17.1,54.7 %,71.1,2111
1517,Hermosa Drive Elementary,K-6,Fullerton Elementary,501,26.3,34.5 %,71.1,998
1518,Highland Grove Elementary,K-5,Redlands Unified,533,26.6,58.7 %,71,1003
1519,Bay View Academy,K-8,Monterey County Office Of Education,400,25,33.0 %,71,1013
1520,Gage Elementary,K-5,San Diego Unified,474,24.9,49.0 %,71,1913
1521,Loma Verde Elementary,K-6,Chula Vista Elementary,475,20.6,81.5 %,71,1992
1522,Vista de Las Cruces,K-8,Vista Del Mar Union,124,13.7,45.2 %,71,1701
1523,Cubberley K-8,K-8,Long Beach Unified,"1,036",26.5,29.4 %,70.9,1514
1524,Dr. Sammy Lee Medical and Health Science Magnet Elementary,K-5,Los Angeles Unified,578,24,88.6 %,70.9,2187
1525,Nuestro Elementary,K-8,Nuestro Elementary,145,18.1,37.2 %,70.9,1567
1526,Jackson Academy of Music and Math (JAMM),K-8,Morgan Hill Unified,580,26.3,34.1 %,70.9,1490
1527,Fern Elementary,K-5,Torrance Unified,586,26.6,38.2 %,70.9,1579
1528,Lake View Elementary,K-5,Ocean View,246,22.3,63.4 %,70.8,1960
1529,Discovery Charter II,K-8,Santa Clara County Office Of Education,444,21.1,7.7 %,70.8,1483
1530,LaVerne Elementary Preparatory Academy,K-8,Hesperia Unified,451,22.5,63.6 %,70.8,2115
1531,The Heights Charter,K-8,Dehesa Elementary,204,17,20.1 %,70.7,1175
1532,Del Cerro Elementary,K-6,Saddleback Valley Unified,526,27.6,28.0 %,70.7,1454
1533,NextGeneration STEAM Academy,K-8,Banta Elementary,315,22.5,36.5 %,70.7,
1534,Angier Elementary,K-5,San Diego Unified,546,26,62.8 %,70.6,1407
1535,Dona Merced Elementary,K-5,Central Elementary,582,26.4,51.9 %,70.6,1800
1536,Vista Grande Elementary,K-5,Cajon Valley Union,627,25,35.6 %,70.5,1324
1537,Brisbane Elementary,K-5,Brisbane Elementary,177,19.6,23.2 %,70.5,1110
1538,E. M. Grimmer Elementary,K-6,Fremont Unified,472,21.4,58.5 %,70.5,1124
1539,Oak Ridge Elementary,K-6,Oak Grove Elementary,512,23.2,30.1 %,70.5,1680
1540,David Lubin Elementary,K-6,Sacramento City Unified,550,22.9,52.6 %,70.5,1445
1541,Darby Avenue Charter,K-5,Los Angeles Unified,511,24.3,39.1 %,70.5,1264
1542,College View Elementary,K-5,Ocean View,438,24.3,55.7 %,70.4,1842
1543,Chet F. Harritt Elementary,K-8,Santee,625,27.1,46.7 %,70.4,1997
1544,Circle of Independent Learning,K-12,Fremont Unified,304,38,16.5 %,70.4,1476
1545,Grovecenter Elementary,K-5,Covina-Valley Unified,479,21.7,70.8 %,70.3,1228
1546,Bitely (Arlene) Elementary,K-6,Garvey Elementary,522,24.8,88.5 %,70.3,1744
1547,Keyes to Learning Charter,K-12,Keyes Union,336,22.4,25.3 %,70.3,1309
1548,Serrano Elementary,K-6,Orange Unified,579,30.4,18.7 %,70.3,1335
1549,Avalon Elementary,K-5,Val Verde Unified,725,29,71.6 %,70.3,2755
1550,Yountville Elementary,K-5,Napa Valley Unified,120,20,25.0 %,70.2,2319
1551,Cook (Hazel Goes) Elementary,K-6,Chula Vista Elementary,373,24.8,77.2 %,70.2,1897
1552,Hallmark Charter,K-12,Sanger Unified,368,19.3,45.9 %,70.2,1667
1553,Lincoln Elementary,K-5,Oakland Unified,740,23.8,70.0 %,70.2,1127
1554,Glenoaks Elementary,K-6,Glendale Unified,573,23.8,32.1 %,70.2,1822
1555,Roosevelt Elementary,K-5,San Leandro Unified,512,26.9,34.2 %,70.2,1693
1556,San Miguel Elementary,K-6,Mark West Union Elementary,414,21.7,32.4 %,70.1,1267
1557,Green Valley Elementary,K-5,Rescue Union Elementary,436,24.2,35.8 %,70.1,1456
1558,Roger S. Oraze Elementary,K-6,Clovis Unified,859,29.6,46.9 %,70.1,1417
1559,Flory Academy of Sciences and Technology,K-5,Moorpark Unified,461,20,44.9 %,70.1,1314
1560,Baywood Elementary,K-5,San Luis Coastal Unified,344,24.5,55.5 %,70.1,1752
1561,Oak View Elementary,K-8,Oak View Union Elementary,413,21.7,47.2 %,70,1978
1562,Pauba Valley Elementary,K-5,Temecula Valley Unified,548,24.9,32.3 %,70,1537
1563,Robert Hill Lane Elementary,K-6,Los Angeles Unified,404,22.4,82.4 %,69.9,2369
1564,Southside Elementary,K-8,Southside Elementary,241,30.1,34.4 %,69.9,946
1565,Hydesville Elementary,K-8,Hydesville Elementary,197,19.7,27.9 %,69.9,1939
1566,Coyote Ridge Elementary,K-5,Dry Creek Joint Elementary,842,23.3,24.0 %,69.8,1086
1567,Ramona Elementary,K-8,Alhambra Unified,880,26.6,77.3 %,69.8,1569
1568,Ocia A. Peters Elementary,K-6,Garden Grove Unified,"1,228",26.6,75.4 %,69.8,1763
1569,Kermit King Elementary,K-5,Paso Robles Joint Unified,507,28.1,36.7 %,69.8,1534
1570,Sycamore Canyon Elementary,K-6,Santee,336,25.8,24.7 %,69.8,1282
1571,Promenade Elementary,K-5,Alvord Unified,662,26.4,52.1 %,69.8,1575
1572,Academy of Personalized Learning,K-12,Gateway Unified,368,24.5,60.9 %,69.8,2388
1573,Twain Elementary,K-5,Long Beach Unified,599,26,45.1 %,69.8,2463
1574,Lake Forest Elementary,K-6,Saddleback Valley Unified,877,29.2,33.3 %,69.7,1421
1575,Browns Valley Elementary,K-5,Napa Valley Unified,524,24.9,34.0 %,69.7,1327
1576,STREAM Charter,K-8,Oroville City Elementary,269,38.4,32.3 %,69.7,
1577,Wood Ranch Elementary,K-6,Simi Valley Unified,613,26.6,12.2 %,69.7,1141
1578,Enslen Elementary,K-6,Modesto City Elementary,413,24.2,49.2 %,69.7,2021
1579,Mesa View Elementary,K-5,Romoland Elementary,771,25.7,41.8 %,69.6,1767
1580,Rancho Rosal Elementary,K-5,Pleasant Valley,707,22.8,28.0 %,69.6,1895
1581,Monticello Elementary,K-4,Jefferson Elementary,408,20.4,24.3 %,69.6,1823
1582,Barron Park Elementary,K-5,Palo Alto Unified,289,16,29.1 %,69.6,1425
1583,Tovashal Elementary,K-5,Murrieta Valley Unified,749,27.7,32.4 %,69.6,1772
1584,Tustin Ranch Elementary,K-5,Tustin Unified,654,29.7,28.3 %,69.6,1339
1585,Faylane Elementary,K-6,Garden Grove Unified,571,25.9,65.7 %,69.6,1953
1586,Hancock Elementary,K-5,San Diego Unified,638,24.5,72.1 %,69.5,1570
1587,Rio Vista Elementary,K-5,Los Angeles Unified,453,23.8,49.5 %,69.5,1254
1588,Arthur C. Butler Elementary,K-6,Elk Grove Unified,905,21.5,61.3 %,69.5,1954
1589,Madrone Elementary,K-6,Rincon Valley Union Elementary,418,20.9,41.6 %,69.5,1874
1590,Yick Wo Elementary,K-5,San Francisco Unified,270,27,41.9 %,69.5,1925
1591,Victoriano Elementary,K-5,Val Verde Unified,765,27.3,68.0 %,69.5,1605
1592,Shelyn Elementary,K-6,Rowland Unified,398,18.9,51.8 %,69.4,1361
1593,Santa Barbara Charter,K-8,Santa Barbara Unified,295,22.6,14.9 %,69.4,1368
1594,Erma B. Reese Elementary,K-6,Lodi Unified,633,24.3,45.5 %,69.4,1588
1595,Providencia Elementary,K-5,Burbank Unified,390,26,52.6 %,69.3,1734
1596,Crafton Elementary,K-5,Redlands Unified,678,26,54.9 %,69.3,1442
1597,Julia B. Morrison Elementary,K-5,Norwalk-La Mirada Unified,795,27.4,81.5 %,69.3,1929
1598,Weldon Elementary,K-6,Clovis Unified,635,28.8,76.2 %,69.3,2484
1599,Ellen Feickert Elementary,K-6,Elk Grove Unified,627,20.2,40.5 %,69.3,1826
1600,Colony Oak Elementary,K-8,Ripon Unified,449,26.4,26.5 %,69.3,1664
1601,Kings Beach Elementary,K-4,Tahoe-Truckee Unified,364,22.7,42.9 %,69.3,1946
1602,San Marino Elementary,K-6,Centralia Elementary,584,25.3,63.4 %,69.2,1504
1603,John Muir Elementary,K-6,Lodi Unified,636,23.5,52.7 %,69.2,1487
1604,Juan De Anza Elementary,K-5,Wiseburn Unified,603,24.1,44.1 %,69.1,
1605,Manuel F. Hernandez,K-6,Visalia Unified,843,28.1,69.9 %,69.1,2034
1606,La Paloma Elementary,K-6,Fallbrook Union Elementary,552,24,66.9 %,69.1,1853
1607,Pleasant Grove,K-8,Pleasant Grove Joint Union,213,23.6,31.0 %,69.1,1140
1608,Los Altos Elementary,K-5,Hacienda La Puente Unified,410,22.7,59.5 %,69.1,1525
1609,Dr. Albert Schweitzer,K-6,Magnolia Elementary,648,24.9,89.8 %,69.1,1665
1610,Clovis Elementary,K-6,Clovis Unified,646,25.8,64.4 %,69.1,1580
1611,Zamora Elementary,K-6,Woodland Joint Unified,527,26.3,47.4 %,69.1,1616
1612,Bonny Doon Elementary,K-6,Bonny Doon Union Elementary,165,20.6,20.6 %,69.1,841
1613,Prado View Elementary,K-6,Corona-Norco Unified,803,25.9,27.9 %,69,1398
1614,Jefferson Elementary,K-6,Clovis Unified,595,28.3,69.2 %,69,1643
1615,Renaissance Arts Academy K-12,K-12,Los Angeles Unified,58,19.3,63.8 %,69,
1616,Grace Miller Elementary,K-5,Bonita Unified,429,23.8,48.0 %,69,1259
1617,Del Mar Elementary,K-5,Live Oak Elementary,415,23,68.4 %,69,2472
1618,Breeze Hill Elementary,K-5,Vista Unified,786,26.2,56.6 %,69,1994
1619,Brier Elementary,K-6,Fremont Unified,754,26.9,45.9 %,68.9,1781
1620,Pioneer Elementary,K-5,Pioneer Union Elementary,581,24.2,47.9 %,68.9,1721
1621,Carnelian Elementary,K-6,Alta Loma Elementary,412,25.7,44.2 %,68.9,1600
1622,John F. Kennedy Elementary,K-6,Newark Unified,348,24.8,24.7 %,68.8,1242
1623,Santa Monica Alternative (K-8),K-8,Santa Monica-Malibu Unified,227,22.7,4.9 %,68.8,719
1624,Brandon Elementary,K-6,Goleta Union Elementary,439,20.9,38.7 %,68.8,1747
1625,Campus Canyon Elementary,K-8,Moorpark Unified,686,22.1,38.8 %,68.8,1255
1626,Vinci Park Elementary,K-5,Berryessa Union Elementary,616,24.6,42.2 %,68.7,1520
1627,Brentwood Elementary,K-5,Brentwood Union Elementary,620,23.8,33.1 %,68.7,1378
1628,Anderson Elementary,K-6,Westminster,600,23,85.8 %,68.7,1678
